DL,DP,HE,HK,HL,PU,SE,SL,WEIGHT,MOTORIZED_PIECES_COUNT,TOTAL_VOLUME_CUBIC_FOOT,HAZMAT_FLAG,FREEZABLE_FLAG,NODE_VISIT_CNT,dock_availability_indicator,forklift_availability_indicator,customer_location_type,DWELL_TIME
1,0,0,0,0,0,0,0,6180,6,398.54,FALSE,FALSE,22,Y,Y,Business/Commercial,20.65
3,0,0,0,0,0,0,0,5047,5,605.82,FALSE,FALSE,136,Y,Y,Business/Commercial,80.7
0,0,0,0,0,1,0,0,2979,2,241.55,FALSE,FALSE,34,Y,N,Business/Commercial,24.483333
1,0,0,0,0,0,0,0,1133,1,490.55,FALSE,FALSE,40,Y,Y,Business/Commercial,42.983333
1,0,0,0,0,0,0,0,2086,3,170.16,FALSE,FALSE,99,Y,Y,Shopping Mall/Strip Mall,31.566667
1,0,0,0,0,0,0,0,380,1,136.91,FALSE,FALSE,22,Y,N,Business/Commercial,32.816667
0,0,0,0,0,3,0,0,1567,3,323.94,FALSE,FALSE,49,Y,Y,Business/Commercial,39.05
0,0,0,0,0,1,0,0,585,1,114.31,FALSE,FALSE,37,Y,Y,Business/Commercial,27.65
1,0,0,0,0,0,0,0,3038,2,300.57,FALSE,FALSE,30,Y,Y,Distribution Center,36.7
1,0,0,0,0,0,0,0,8664,6,554,FALSE,FALSE,31,Y,Y,Business/Commercial,30.633333
0,0,0,0,0,6,0,0,4055,7,504.12,FALSE,FALSE,180,Y,Y,Business/Commercial,69.4
1,0,0,0,0,0,0,0,937,1,169.16,FALSE,FALSE,6,N,N,Business/Commercial,36.716667
0,0,0,0,0,1,0,0,460,1,438.5,FALSE,FALSE,13,Y,N,Business/Commercial,27.5
0,0,0,0,0,2,0,0,2712,2,253,FALSE,FALSE,128,Y,Y,Distribution Center,55.883333
1,0,0,0,0,0,0,0,332,1,180.28,FALSE,FALSE,36,Y,Y,Business/Commercial,38.366667
4,0,0,0,0,0,0,0,18421,15,1462.37,TRUE,FALSE,121,Y,Y,Business/Commercial,45.05
2,0,0,0,0,0,0,0,1849,2,227.33,FALSE,FALSE,176,Y,Y,Business/Commercial,32.933333
1,0,0,0,0,0,0,0,735,1,125.47,FALSE,FALSE,48,Y,Y,Business/Commercial,34.4
0,0,0,0,0,2,0,0,1967,2,410.21,FALSE,FALSE,94,Y,N,Business/Commercial,45.4
1,0,0,0,0,0,0,0,312,2,399,FALSE,FALSE,76,Y,Y,Business/Commercial,42.883333
1,0,0,0,0,1,0,0,13681,9,523.26,FALSE,FALSE,27,Y,Y,Business/Commercial,25.066667
1,0,0,0,0,0,0,0,359,1,220.55,FALSE,FALSE,18,Y,Y,Distribution Center,30.083333
0,0,0,0,0,1,0,0,509,1,136.33,FALSE,FALSE,18,N,Y,Business/Commercial,19.5
0,0,0,0,0,4,0,0,15066,9,959.44,FALSE,FALSE,210,Y,Y,Business/Commercial,87.233333
0,0,0,0,0,1,0,0,1546,12,588.59,FALSE,FALSE,9,N,Y,Business/Commercial,23.833333
1,0,0,0,0,0,0,0,1522,2,123.95,FALSE,FALSE,34,Y,Y,Business/Commercial,15.8
